trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1001,False,"{'a': 0.005, 'e': 0.006670903306255274}",35,12,36.823714263502914,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
1002,False,"{'a': 0.005, 'e': 0.0066376320372117225}",25,13,0.6023830721643513,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
1003,False,"{'a': 0.005, 'e': 0.006604526709314805}",30,16,28.421604191714493,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1004,False,"{'a': 0.005, 'e': 0.006571586494929613}",25,19,11.89398669309745,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1005,False,"{'a': 0.005, 'e': 0.006538810570549064}",30,18,23.61015943593284,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
1006,False,"{'a': 0.005, 'e': 0.006506198116773342}",25,19,11.972346893783701,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1007,False,"{'a': 0.005, 'e': 0.006473748318289405}",20,12,15.567037980678691,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1008,False,"{'a': 0.005, 'e': 0.006441460363850599}",30,16,21.08385493499025,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1009,False,"{'a': 0.005, 'e': 0.006409333446256383}",25,17,18.113841758465966,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1010,False,"{'a': 0.005, 'e': 0.0063773667623321425}",20,3,26.5333183271491,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1011,False,"{'a': 0.005, 'e': 0.00634555951290911}",20,6,20.466155575673803,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
1012,False,"{'a': 0.005, 'e': 0.006313910902804404}",20,3,26.144851096463356,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
1013,False,"{'a': 0.005, 'e': 0.006282420140801118}",20,15,8.063123635088767,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
